ID_ESTUDIO,CVE_ACUIF,ACUIFERO,NOM_ACUIF,CVE_EDO,NOM_EDO,ESTADO,
8322,2502,2502 RÍO SINALOA,RÍO SINALOA,25,SINALOA,25 SINALOA,
8322,2503,2503 RÍO MOCORITO,RÍO MOCORITO,25,SINALOA,25 SINALOA,
8323,2502,2502 RÍO SINALOA,RÍO SINALOA,25,SINALOA,25 SINALOA,
8324,2501,2501 RÍO FUERTE,RÍO FUERTE,25,SINALOA,25 SINALOA,
8324,2502,2502 RÍO SINALOA,RÍO SINALOA,25,SINALOA,25 SINALOA,
8324,2503,2503 RÍO MOCORITO,RÍO MOCORITO,25,SINALOA,25 SINALOA,
8324,2504,2504 RÍO CULIACÁN,RÍO CULIACÁN,25,SINALOA,25 SINALOA,
8324,2505,2505 RÍO SAN LORENZO,RÍO SAN LORENZO,25,SINALOA,25 SINALOA,
8324,2506,2506 RÍO ELOTA,RÍO ELOTA,25,SINALOA,25 SINALOA,
8324,2507,2507 RÍO PIAXTLA,RÍO PIAXTLA,25,SINALOA,25 SINALOA,
8324,2508,2508 RÍO QUELITE,RÍO QUELITE,25,SINALOA,25 SINALOA,
8324,2509,2509 RÍO PRESIDIO,RÍO PRESIDIO,25,SINALOA,25 SINALOA,
8324,2510,2510 RÍO BALUARTE,RÍO BALUARTE,25,SINALOA,25 SINALOA,
8324,2511,2511 VALLE DE ESCUINAPA,VALLE DE ESCUINAPA,25,SINALOA,25 SINALOA,
8324,2512,2512 LAGUNA AGUA GRANDE,LAGUNA AGUA GRANDE,25,SINALOA,25 SINALOA,
8324,2513,2513 RÍO CAÑAS,RÍO CAÑAS,25,SINALOA,25 SINALOA,
8324,2514,2514 EL CARRIZO,EL CARRIZO,25,SINALOA,25 SINALOA,
8325,2506,2506 RÍO ELOTA,RÍO ELOTA,25,SINALOA,25 SINALOA,
8325,2507,2507 RÍO PIAXTLA,RÍO PIAXTLA,25,SINALOA,25 SINALOA,
8325,2508,2508 RÍO QUELITE,RÍO QUELITE,25,SINALOA,25 SINALOA,
8326,2504,2504 RÍO CULIACÁN,RÍO CULIACÁN,25,SINALOA,25 SINALOA,
8326,2505,2505 RÍO SAN LORENZO,RÍO SAN LORENZO,25,SINALOA,25 SINALOA,
8327,2501,2501 RÍO FUERTE,RÍO FUERTE,25,SINALOA,25 SINALOA,
8327,2503,2503 RÍO MOCORITO,RÍO MOCORITO,25,SINALOA,25 SINALOA,
8327,2504,2504 RÍO CULIACÁN,RÍO CULIACÁN,25,SINALOA,25 SINALOA,
8327,2505,2505 RÍO SAN LORENZO,RÍO SAN LORENZO,25,SINALOA,25 SINALOA,
8327,2509,2509 RÍO PRESIDIO,RÍO PRESIDIO,25,SINALOA,25 SINALOA,
8328,2503,2503 RÍO MOCORITO,RÍO MOCORITO,25,SINALOA,25 SINALOA,
8329,2501,2501 RÍO FUERTE,RÍO FUERTE,25,SINALOA,25 SINALOA,
8329,2502,2502 RÍO SINALOA,RÍO SINALOA,25,SINALOA,25 SINALOA,
8329,2503,2503 RÍO MOCORITO,RÍO MOCORITO,25,SINALOA,25 SINALOA,
8329,2504,2504 RÍO CULIACÁN,RÍO CULIACÁN,25,SINALOA,25 SINALOA,
8329,2505,2505 RÍO SAN LORENZO,RÍO SAN LORENZO,25,SINALOA,25 SINALOA,
8329,2506,2506 RÍO ELOTA,RÍO ELOTA,25,SINALOA,25 SINALOA,
8329,2507,2507 RÍO PIAXTLA,RÍO PIAXTLA,25,SINALOA,25 SINALOA,
8329,2508,2508 RÍO QUELITE,RÍO QUELITE,25,SINALOA,25 SINALOA,
8329,2509,2509 RÍO PRESIDIO,RÍO PRESIDIO,25,SINALOA,25 SINALOA,
8329,2510,2510 RÍO BALUARTE,RÍO BALUARTE,25,SINALOA,25 SINALOA,
8329,2511,2511 VALLE DE ESCUINAPA,VALLE DE ESCUINAPA,25,SINALOA,25 SINALOA,
8329,2512,2512 LAGUNA AGUA GRANDE,LAGUNA AGUA GRANDE,25,SINALOA,25 SINALOA,
8329,2513,2513 RÍO CAÑAS,RÍO CAÑAS,25,SINALOA,25 SINALOA,
8329,2514,2514 EL CARRIZO,EL CARRIZO,25,SINALOA,25 SINALOA,
8330,0101,0101 VALLE DE AGUASCALIENTES,VALLE DE AGUASCALIENTES,01,AGUASCALIENTES,01 AGUASCALIENTES,
8330,2408,2408 VILLA DE ARISTA,VILLA DE ARISTA,24,SAN LUIS POTOSÍ,24 SAN LUIS POTOSÍ,
8330,2411,2411 SAN LUIS POTOSÍ,SAN LUIS POTOSÍ,24,SAN LUIS POTOSÍ,24 SAN LUIS POTOSÍ,
8331,2417,2417 SANTA MARÍA DEL RÍO,SANTA MARÍA DEL RÍO,24,SAN LUIS POTOSÍ,24 SAN LUIS POTOSÍ,
8332,2415,2415 RÍO VERDE,RÍO VERDE,24,SAN LUIS POTOSÍ,24 SAN LUIS POTOSÍ,
8333,2408,2408 VILLA DE ARISTA,VILLA DE ARISTA,24,SAN LUIS POTOSÍ,24 SAN LUIS POTOSÍ,
8334,2417,2417 SANTA MARÍA DEL RÍO,SANTA MARÍA DEL RÍO,24,SAN LUIS POTOSÍ,24 SAN LUIS POTOSÍ,
8335,2411,2411 SAN LUIS POTOSÍ,SAN LUIS POTOSÍ,24,SAN LUIS POTOSÍ,24 SAN LUIS POTOSÍ,
8336,2413,2413 MATEHUALA-HUIZACHE,MATEHUALA-HUIZACHE,24,SAN LUIS POTOSÍ,24 SAN LUIS POTOSÍ,
8337,2411,2411 SAN LUIS POTOSÍ,SAN LUIS POTOSÍ,24,SAN LUIS POTOSÍ,24 SAN LUIS POTOSÍ,
8338,2411,2411 SAN LUIS POTOSÍ,SAN LUIS POTOSÍ,24,SAN LUIS POTOSÍ,24 SAN LUIS POTOSÍ,
8339,2412,2412 JARAL DE BERRIOS-VILLA DE REYES,JARAL DE BERRIOS-VILLA DE REYES,24,SAN LUIS POTOSÍ,24 SAN LUIS POTOSÍ,
8340,2401,2401 VANEGAS-CATORCE,VANEGAS-CATORCE,24,SAN LUIS POTOSÍ,24 SAN LUIS POTOSÍ,
8340,2402,2402 EL BARRIL,EL BARRIL,24,SAN LUIS POTOSÍ,24 SAN LUIS POTOSÍ,
8340,2403,2403 SALINAS DE HIDALGO,SALINAS DE HIDALGO,24,SAN LUIS POTOSÍ,24 SAN LUIS POTOSÍ,
8340,2404,2404 SANTO DOMINGO,SANTO DOMINGO,24,SAN LUIS POTOSÍ,24 SAN LUIS POTOSÍ,
8340,2405,2405 AHUALULCO,AHUALULCO,24,SAN LUIS POTOSÍ,24 SAN LUIS POTOSÍ,
8340,2406,2406 VILLA DE ARRIAGA,VILLA DE ARRIAGA,24,SAN LUIS POTOSÍ,24 SAN LUIS POTOSÍ,
8340,2407,2407 CEDRAL-MATEHUALA,CEDRAL-MATEHUALA,24,SAN LUIS POTOSÍ,24 SAN LUIS POTOSÍ,
8340,2408,2408 VILLA DE ARISTA,VILLA DE ARISTA,24,SAN LUIS POTOSÍ,24 SAN LUIS POTOSÍ,
8340,2409,2409 VILLA HIDALGO,VILLA HIDALGO,24,SAN LUIS POTOSÍ,24 SAN LUIS POTOSÍ,
8340,2410,2410 BUENAVISTA,BUENAVISTA,24,SAN LUIS POTOSÍ,24 SAN LUIS POTOSÍ,
8340,2411,2411 SAN LUIS POTOSÍ,SAN LUIS POTOSÍ,24,SAN LUIS POTOSÍ,24 SAN LUIS POTOSÍ,
8340,2412,2412 JARAL DE BERRIOS-VILLA DE REYES,JARAL DE BERRIOS-VILLA DE REYES,24,SAN LUIS POTOSÍ,24 SAN LUIS POTOSÍ,
8340,2413,2413 MATEHUALA-HUIZACHE,MATEHUALA-HUIZACHE,24,SAN LUIS POTOSÍ,24 SAN LUIS POTOSÍ,
